a,e,i,cluster
0.5966209081309399,0.0,0.2887200467562829,1
0.6008447729672652,0.8569807037457433,1.0,2
0.4963041182682151,1.0,0.35885447106955,3
0.1700105596620909,0.06015891032917142,0.1879018118059614,0
0.39704329461457233,0.6123723041997728,0.13588544710695502,3
0.23653643083421327,0.6958002270147559,0.4099941554646406,3
0.1964097148891235,0.8547105561861519,0.14056107539450613,3
0.0,0.4353007945516457,0.15137346580946814,0
0.1964097148891235,0.2440408626560726,0.1423144360023378,0
1.0,0.16231555051078317,0.09117475160724722,1
0.26610348468849,0.11861520998864927,0.11484511981297488,0
0.14044350580781417,0.7962542565266741,0.2238457042665108,3
0.3959873284054911,0.028944381384789997,0.462302746931619,1
0.40865892291446704,0.4716231555051078,0.24605493863237876,0
0.4656810982048576,0.6140749148694664,0.3229105786090006,3
0.7624076029567055,0.31044267877412024,0.06984219754529516,1
0.2872228088701161,0.29341657207718497,0.14260666277030976,0
0.10031678986272441,0.7854710556186151,0.27527761542957335,3
0.2544878563885957,0.4449489216799092,0.02513150204558738,0
0.21858500527983082,0.36435868331441545,0.0,0
0.24604012671594555,0.4835414301929625,0.06867329047340737,0
0.7476240760295667,0.10953461975028378,0.37960257159555816,1
